fullname,age,gender,phone,faculty,branch,student_id
นายเอกอนทร์ สอนทดเลข,24,ชาย,0859291951,Business Management,BBT,61070101
นายเอกอนทร์ สอนทดเลข,23,ชาย,0859291951,Engineer,Mechanic,61070102
นายเกวลี ดอกท้อ,22,ชาย,0859201295,Engineer,Computer,62064112
นายดอกท้อ แสดงดี,22,ชาย,095819251,Engineer,Chemistry,62065107
นายสวัสดิภาพ แสนทรัพย์,21,ชาย,0895210512,Business Management,BBT,63061210
นายกมล เหลี่ยม,20,ชาย,085910294,Information Technology,BIT,64070001
นางสาวศศิธร ศรีจันทร์,20,หญิง,0859102915,Information Technology,DSBA,64070106
นายศุภกร เนตรสุวรรณ,20,ชาย,0959259515,Information Technology,IT,64070108
นายเมธาสิน ทรัพย์โสรี,20,ชาย,0959259515,Information Technology,IT,64070112
นายเสรีนอน สอนศิรินทร์,20,ชาย,0859201951,Engineer,Computer,64070192
นายเสรีนอน สอนศิรินทร์,22,ชาย,0859281951,Business Management,BMT,64070193
นางสาวสุมาศ ชาเนล,20,หญิง,0857690124,Business Management,BBT,64070196
นางสาวxxx uuu,21,หญิง,0959255151,Faculty of Medicine,Nurse,64070198
